Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35422,OPTIDX,CE,9600,MIDCPNIFTY,MIDCPNIFTY 29th APR 9600 CE,MIDCPNIFTY29APR24C9600,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35423,OPTIDX,PE,9600,MIDCPNIFTY,MIDCPNIFTY 29th APR 9600 PE,MIDCPNIFTY29APR24P9600,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35424,OPTIDX,CE,9625,MIDCPNIFTY,MIDCPNIFTY 29th APR 9625 CE,MIDCPNIFTY29APR24C9625,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35425,OPTIDX,PE,9625,MIDCPNIFTY,MIDCPNIFTY 29th APR 9625 PE,MIDCPNIFTY29APR24P9625,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35429,OPTIDX,CE,9650,MIDCPNIFTY,MIDCPNIFTY 29th APR 9650 CE,MIDCPNIFTY29APR24C9650,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35430,OPTIDX,PE,9650,MIDCPNIFTY,MIDCPNIFTY 29th APR 9650 PE,MIDCPNIFTY29APR24P9650,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35446,OPTIDX,CE,9675,MIDCPNIFTY,MIDCPNIFTY 29th APR 9675 CE,MIDCPNIFTY29APR24C9675,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35447,OPTIDX,PE,9675,MIDCPNIFTY,MIDCPNIFTY 29th APR 9675 PE,MIDCPNIFTY29APR24P9675,2024-04-29,75,0.05
NFO,nse_fo,NIFTY,35450,OPTIDX,CE,20050,NIFTY,NIFTY 10th APR 20050 CE,NIFTY10APR24C20050,2024-04-10,50,0.05
NFO,nse_fo,NIFTY,35451,OPTIDX,PE,20050,NIFTY,NIFTY 10th APR 20050 PE,NIFTY10APR24P20050,2024-04-10,50,0.05
NFO,nse_fo,MIDCPNIFTY,35488,OPTIDX,CE,9700,MIDCPNIFTY,MIDCPNIFTY 29th APR 9700 CE,MIDCPNIFTY29APR24C9700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35489,OPTIDX,PE,9700,MIDCPNIFTY,MIDCPNIFTY 29th APR 9700 PE,MIDCPNIFTY29APR24P9700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35490,OPTIDX,CE,9725,MIDCPNIFTY,MIDCPNIFTY 29th APR 9725 CE,MIDCPNIFTY29APR24C9725,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35491,OPTIDX,PE,9725,MIDCPNIFTY,MIDCPNIFTY 29th APR 9725 PE,MIDCPNIFTY29APR24P9725,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35502,OPTIDX,CE,9750,MIDCPNIFTY,MIDCPNIFTY 29th APR 9750 CE,MIDCPNIFTY29APR24C9750,2024-04-29,75,0.05
