Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35683,OPTIDX,CE,10375,MIDCPNIFTY,MIDCPNIFTY 29th APR 10375 CE,MIDCPNIFTY29APR24C10375,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35684,OPTIDX,PE,10375,MIDCPNIFTY,MIDCPNIFTY 29th APR 10375 PE,MIDCPNIFTY29APR24P10375,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35685,OPTIDX,CE,10400,MIDCPNIFTY,MIDCPNIFTY 29th APR 10400 CE,MIDCPNIFTY29APR24C10400,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35686,OPTIDX,PE,10400,MIDCPNIFTY,MIDCPNIFTY 29th APR 10400 PE,MIDCPNIFTY29APR24P10400,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35687,OPTIDX,CE,10425,MIDCPNIFTY,MIDCPNIFTY 29th APR 10425 CE,MIDCPNIFTY29APR24C10425,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35688,OPTIDX,PE,10425,MIDCPNIFTY,MIDCPNIFTY 29th APR 10425 PE,MIDCPNIFTY29APR24P10425,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35689,OPTIDX,CE,10450,MIDCPNIFTY,MIDCPNIFTY 29th APR 10450 CE,MIDCPNIFTY29APR24C10450,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35690,OPTIDX,PE,10450,MIDCPNIFTY,MIDCPNIFTY 29th APR 10450 PE,MIDCPNIFTY29APR24P10450,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35691,OPTIDX,CE,10475,MIDCPNIFTY,MIDCPNIFTY 29th APR 10475 CE,MIDCPNIFTY29APR24C10475,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35692,OPTIDX,PE,10475,MIDCPNIFTY,MIDCPNIFTY 29th APR 10475 PE,MIDCPNIFTY29APR24P10475,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35693,OPTIDX,CE,10500,MIDCPNIFTY,MIDCPNIFTY 29th APR 10500 CE,MIDCPNIFTY29APR24C10500,2024-04-29,75,0.05
