Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,11487,OPTCUR,PE,105.25,GBPINR,GBPINR10MAY24P105.25,GBPINR 10th MAY 105.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11488,OPTCUR,CE,105.5,GBPINR,GBPINR10MAY24C105.5,GBPINR 10th MAY 105.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11489,OPTCUR,PE,103,GBPINR,GBPINR24MAY24P103,GBPINR 24th MAY 103 PE,2024-05-24,1,0.0025
CDS,cde_fo,GBPINR,11490,OPTCUR,CE,103.25,GBPINR,GBPINR24MAY24C103.25,GBPINR 24th MAY 103.25 CE,2024-05-24,1,0.0025
CDS,cde_fo,GBPUSD,11491,OPTCUR,CE,1.395,GBPUSD,GBPUSD26SEP24C1.395,GBPUSD 26th SEP 1.395 CE,2024-09-26,1,0.0001
CDS,cde_fo,GBPUSD,11492,OPTCUR,PE,1.395,GBPUSD,GBPUSD26SEP24P1.395,GBPUSD 26th SEP 1.395 PE,2024-09-26,1,0.0001
CDS,cde_fo,GBPINR,11499,OPTCUR,PE,105.5,GBPINR,GBPINR10MAY24P105.5,GBPINR 10th MAY 105.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11500,OPTCUR,CE,105.75,GBPINR,GBPINR10MAY24C105.75,GBPINR 10th MAY 105.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11501,OPTCUR,PE,105.75,GBPINR,GBPINR10MAY24P105.75,GBPINR 10th MAY 105.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11502,OPTCUR,CE,106,GBPINR,GBPINR10MAY24C106,GBPINR 10th MAY 106 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11503,OPTCUR,PE,106,GBPINR,GBPINR10MAY24P106,GBPINR 10th MAY 106 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11504,OPTCUR,CE,106.25,GBPINR,GBPINR10MAY24C106.25,GBPINR 10th MAY 106.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11505,OPTCUR,PE,106.25,GBPINR,GBPINR10MAY24P106.25,GBPINR 10th MAY 106.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11506,OPTCUR,CE,106.5,GBPINR,GBPINR10MAY24C106.5,GBPINR 10th MAY 106.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,USDINR,11507,OPTCUR,PE,78,USDINR,USDINR29MAY24P78,USDINR MAY 78 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11508,OPTCUR,CE,78.25,USDINR,USDINR29MAY24C78.25,USDINR MAY 78.25 CE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11509,OPTCUR,PE,78.25,USDINR,USDINR29MAY24P78.25,USDINR MAY 78.25 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11510,OPTCUR,CE,78.5,USDINR,USDINR29MAY24C78.5,USDINR MAY 78.5 CE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11511,OPTCUR,PE,78.5,USDINR,USDINR29MAY24P78.5,USDINR MAY 78.5 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11512,OPTCUR,CE,78.75,USDINR,USDINR29MAY24C78.75,USDINR MAY 78.75 CE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11513,OPTCUR,PE,78.75,USDINR,USDINR29MAY24P78.75,USDINR MAY 78.75 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11514,OPTCUR,CE,79,USDINR,USDINR29MAY24C79,USDINR MAY 79 CE,2024-05-29,1,0.0025
CDS,cde_fo,GBPINR,11515,OPTCUR,PE,103.25,GBPINR,GBPINR24MAY24P103.25,GBPINR 24th MAY 103.25 PE,2024-05-24,1,0.0025
CDS,cde_fo,GBPINR,11516,OPTCUR,CE,103.5,GBPINR,GBPINR24MAY24C103.5,GBPINR 24th MAY 103.5 CE,2024-05-24,1,0.0025
CDS,cde_fo,GBPINR,11521,OPTCUR,CE,103.75,GBPINR,GBPINR26APR24C103.75,GBPINR 26th APR 103.75 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11522,OPTCUR,PE,103.75,GBPINR,GBPINR26APR24P103.75,GBPINR 26th APR 103.75 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11523,OPTCUR,PE,106.5,GBPINR,GBPINR10MAY24P106.5,GBPINR 10th MAY 106.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11524,OPTCUR,CE,106.75,GBPINR,GBPINR10MAY24C106.75,GBPINR 10th MAY 106.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11533,OPTCUR,CE,104,GBPINR,GBPINR26APR24C104,GBPINR 26th APR 104 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11534,OPTCUR,PE,104,GBPINR,GBPINR26APR24P104,GBPINR 26th APR 104 PE,2024-04-26,1,0.0025
